iter	Passed	Remaining
0	138	138284
1	139	69824
2	141	46987
3	143	35609
4	144	28755
5	146	24207
6	148	21070
7	150	18629
8	151	16708
9	153	15154
10	154	13880
11	155	12820
12	157	11923
13	158	11154
14	159	10487
15	162	9989
16	164	9494
17	165	9031
18	166	8619
19	168	8242
20	169	7905
21	170	7600
22	172	7316
23	173	7057
24	175	6831
25	177	6638
26	178	6439
27	180	6254
28	181	6078
29	182	5912
30	184	5755
31	185	5608
32	186	5472
33	188	5344
34	189	5229
35	191	5132
36	193	5029
37	194	4931
38	196	4837
39	198	4774
40	200	4693
41	202	4618
42	204	4541
43	206	4478
44	207	4411
45	209	4344
46	210	4273
47	212	4205
48	213	4142
49	214	4080
50	216	4022
51	217	3964
52	219	3927
53	221	3880
54	222	3830
55	224	3780
56	225	3731
57	226	3684
58	228	3640
59	229	3596
60	230	3553
61	232	3512
62	233	3477
63	235	3451
64	237	3416
65	238	3379
66	242	3371
67	243	3340
68	245	3314
69	249	3313
70	253	3311
71	254	3282
72	256	3253
73	257	3227
74	259	3200
75	260	3171
76	262	3147
77	265	3133
78	268	3134
79	270	3109
80	271	3084
81	275	3082
82	284	3148
83	287	3131
84	289	3111
85	292	3110
86	294	3089
87	298	3095
88	300	3072
89	301	3047
90	302	3023
91	303	3000
92	305	2977
93	306	2954
94	308	2943
95	311	2930
96	312	2912
97	314	2891
98	315	2870
99	316	2849
100	317	2830
101	319	2810
102	320	2790
103	321	2773
104	324	2765
105	326	2749
106	327	2732
107	328	2714
108	329	2696
109	331	2681
110	332	2665
111	334	2650
112	336	2637
113	338	2631
114	340	2618
115	341	2604
116	342	2588
117	345	2580
118	347	2573
119	349	2563
120	351	2550
121	354	2548
122	356	2543
123	358	2531
124	361	2532
125	363	2519
126	364	2505
127	366	2493
128	371	2506
129	373	2501
130	375	2491
131	378	2491
132	380	2483
133	391	2527
134	393	2519
135	395	2510
136	396	2499
137	398	2490
138	401	2486
139	403	2475
140	415	2534
141	416	2519
142	418	2508
143	420	2497
144	421	2486
145	423	2475
146	424	2464
147	430	2478
148	432	2468
149	433	2457
150	435	2447
151	436	2435
152	448	2483
153	453	2490
154	457	2492
155	465	2517
156	516	2773
157	520	2772
158	523	2769
159	527	2770
160	539	2810
161	556	2878
162	566	2906
163	569	2903
164	571	2893
165	573	2881
166	578	2883
167	581	2880
168	583	2869
169	585	2858
170	599	2906
171	601	2895
172	605	2895
173	611	2902
174	613	2893
175	622	2916
176	625	2906
177	627	2899
178	629	2887
179	631	2878
180	633	2867
181	636	2859
182	640	2858
183	642	2847
184	643	2835
185	647	2834
186	650	2825
187	651	2814
188	653	2804
189	655	2792
190	656	2781
191	660	2779
192	661	2767
193	673	2798
194	676	2791
195	677	2780
196	687	2800
197	690	2798
198	693	2791
199	707	2831
200	709	2820
201	715	2828
202	717	2816
203	721	2816
